appname,type,path,regex
Into The Dead,Last Close Timestamp,com.sidheinteractive.sif.DR/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_upload"" value=""\s*([^\n\r]*)"
Jiopages,Installation Timestamp,com.tvwebbrowser.v22/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Jiopages,Links Visited,com.tvwebbrowser.v22/r/app_webview/Default/Session Storage/000003.log,"(https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|www\.[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9]+\.[^\s]{2,}|www\.[a-zA-Z0-9]+\.[^\s]{2,})"
Jiopages,Backend Links Visited,com.tvwebbrowser.v22/r/app_webview/Default/Local Storage/leveldb/000003.log,"(https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|www\.[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9]+\.[^\s]{2,}|www\.[a-zA-Z0-9]+\.[^\s]{2,})"
Jiopages,Site Headers,com.tvwebbrowser.v22/sp/SP_WEBVIEW_PREFS.xml,"[\n\r].*"">\s*([^\n\r]*)"
Katniss,Installation Timestamp,com.google.android.katniss/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Katniss,User Email,com.google.android.katniss/sp/katniss.voice.interactor.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
Katniss,User Email,com.google.android.katniss/sp/com.google.android.katniss.setting.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
Katniss,User Email,com.google.android.katniss/f/AccountData.pb,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
Katniss,User Email,com.google.android.katniss/f/common/shared/mobstore_accounts.pb,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
Market Cast,Installation Timestamp,co.adamapps.financeapp/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Market Cast,User Email,co.adamapps.financeapp/sp/com.google.android.gms.signin.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
Market Cast,User Email,co.adamapps.financeapp/sp/co.adamapps.financeapp_preferences.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
Media Shell,Last Run Timestamp,com.google.android.apps.mediashell/sp/RecommendationsService.xml,(?<!\d)\d{13}(?!\d)
Message Writer,Saved Messages,mobile.message/sp/mobile.message.xml,[\n\r].*Arrays\s*([^\n\r]*)
NBC,Installation Timestamp,com.nbcuni.nbc.androidtv/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
NBC,User Login Timestamp,com.nbcuni.nbc.androidtv/sp/mp_preferences:-6659740237736813566.xml,(?<!\d)\d{13}(?!\d)
NBC,User Email,com.nbcuni.nbc.androidtv/sp/mp_preferences:-6659740237736813566.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
NBC,User Email,com.nbcuni.nbc.androidtv/sp/com.iterable.iterableapi.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
NBC Sports,Last Close Timestamp,com.nbcsports.apps.tv/sp/AnalyticsDataStorage.xml,(?<!\d)\d{10}(?!\d)
NBC Sports,Installation Timestamp,com.nbcsports.apps.tv/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
NBC Sports,Account ID,com.nbcsports.apps.tv/sp/com.newrelic.android.agent.v1_com.nbcsports.apps.tv.xml,"[\n\r].*""account_id"">\s*([^\n\r]*)"
NBC Sports,Last Close Timestamp,com.nbcsports.apps.tv/sp/com.newrelic.android.agent.v1_com.nbcsports.apps.tv.xml,"[\n\r].*""serverTimestamp"" value=""\s*([^\n\r]*)"
Newsmax TV,Installation Timestamp,com.fli.android.newsmaxapp/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Newsmax TV,Cache Expiration Timestamp,com.fli.android.newsmaxapp/f/.Fabric/io.fabric.sdk.android:fabric/com.crashlytics.settings.json,(?<!\d)\d{13}(?!\d)
Newsmax TV,Initial Run Timestamp,com.fli.android.newsmaxapp/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""first_open_time"" value=""\s*([^\n\r]*)"
Newsmax TV,Last Pause Timestamp,com.fli.android.newsmaxapp/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_pause_time"" value=""\s*([^\n\r]*)"
